Male,Asian,White,Black,top,right,bottom,left
0.07000026460206642,0.04398775520790877,0.9812787566180771,0.0010478554941111505,294,633,330,597
0.3805080934908951,0.01153163003059098,0.9516179418270583,0.002483019612168474,468,943,511,900
0.007714210392185069,0.07918148600179077,0.7908706812689826,0.0022473707251631173,270,261,306,225
0.3032182395486551,0.10748956822691358,0.7411603788591875,0.002451717310807873,425,309,468,266
0.06633638703330715,0.06472240945521875,0.9789694617725714,0.000967869402021682,338,437,374,401
0.9758087447920681,0.006583812703626954,0.9341710205485085,0.003407161438215575,435,821,487,769
0.9085596644117306,0.060379225998614255,0.5205778931580524,0.0011035357341942756,378,55,429,3
0.024131219898688643,0.03339363727485474,0.46910995912184583,0.006014833781191651,487,376,530,333
0.9954958746162298,0.012200592665530785,0.9826085771204066,0.024128086156401378,314,45,358,2
0.43188000352009787,0.011881657770746429,0.9050048967927485,0.006333684098523179,343,268,395,216
0.6035602754031231,0.9179950664840892,0.01963306905722317,0.010649849338994957,270,821,306,785
0.3337014691464183,0.03713400336704107,0.5943270154673441,0.0031317511340063536,298,497,334,461
0.22999731349924094,0.08911770778496324,0.2693235460177526,0.007190181105743479,487,703,530,660
0.17805068611750288,0.017397592791747886,0.8913549416030283,0.0032332384744583656,454,50,497,7
0.057271573279349716,0.0007417734559713572,0.9645220823510624,0.005187480131994717,406,885,449,842
0.07783714194177485,0.019209606734449665,0.9170373814015162,0.0005949152804984519,468,208,511,165
0.062230416198344074,0.028378539584729776,0.9642361180604038,0.0025625240798129232,420,357,463,314
0.021752625826491574,0.0066689396761228335,0.9699266513264099,0.0012899930247068318,206,805,242,769
0.017558835987998404,0.06413286847890314,0.6079028528131671,0.0036285617765290817,362,485,398,449
0.7189627593862663,0.0031286973132781644,0.9671066403139877,0.005619516272271588,186,865,222,829
0.11462316299297431,0.039420128245613494,0.7295995409163193,0.0005499063422528948,305,904,348,861
0.8900809812802464,0.005356761617624022,0.8923561640251189,0.017238025681613343,174,405,210,369
0.03511742763865092,0.02169835901058085,0.8653882566291927,0.0009299171720191522,478,626,521,583
0.8787279128978361,0.012368225404729613,0.9207778801426414,0.02026878219708623,353,847,396,804
0.05380266153827578,0.007300229241739339,0.8766726595930696,0.0007394833225404569,298,585,334,549
