Male,Asian,White,Black,top,right,bottom,left
0.6559684738892323,0.9698576768685078,0.020142685342008897,0.008092787868858751,701,1728,808,1620
0.550890677906271,0.9324596149074619,0.0787097223107024,0.004434131999878184,693,1479,783,1390
0.4282107861357419,0.9739464933757211,0.020911208508834524,0.004338648537814312,445,912,534,822
0.44778686379750426,0.9873575251740279,0.025643847983178154,0.004687029062403591,703,912,793,822
0.20219754385371333,0.8697414717621716,0.10607001339962617,0.0008895908224725881,453,1166,528,1091
0.4552503096467613,0.9541072876236059,0.0778455743054644,0.0042653574148374535,703,1947,793,1857
0.9720107092759623,0.9173117464119764,0.11608928843226138,0.007018402670067279,524,265,614,175
0.8741838288723799,0.9253074200311534,0.013098362602244848,0.031356932257981904,484,2166,574,2076
0.21996151178878962,0.9587062137220689,0.10194636628769436,0.0018468793229126812,454,643,544,554
0.28969295864148525,0.9728047171954199,0.033709841293464944,0.005928043543836632,689,1238,797,1130
0.18541684695219343,0.9214054188721394,0.11605990937171722,0.0012247196597907682,514,1907,604,1818
0.30002251012119924,0.9606504705395816,0.040708106395577086,0.0013138996920934217,693,633,783,544
0.2940292855534478,0.9510504191453687,0.0556953052526959,0.0010262276726287912,445,1406,519,1332
0.4866779597034108,0.948531767833934,0.12917585980563398,0.000744937421548622,445,1658,534,1569
0.7119551779348369,0.7116641425778801,0.0997201211648287,0.003600754475039207,415,394,504,305
